smiles,pchembl,activity_uM,bin_activity,norm_activity
Brc1cccc(Nc2ncnc3ccncc23)c1,7.46,0.034673685045253165,1,0.5700363080450984
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,8.26,0.005495408738576248,1,0.7709726734186891
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.72,0.0019054607179632445,1,0.891840244601567
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,9.29,0.0005128613839913658,1,0.9573858207529142
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,8.49,0.003235936569296281,1,0.82543474106631
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,9.04,0.0009120108393559115,1,0.9352188037454615
Brc1cccc(Nc2ncnc3ccsc23)c1,7.96,0.01096478196143185,1,0.691668259124785
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,9.0,0.001,1,0.921842155551309
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.54,0.0028840315031266116,1,0.8494171603286833
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.77,0.001698243652461746,1,0.8965220714695203
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,8.64,0.0022908676527677698,1,0.8601184788840054
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.19,0.0006456542290346563,1,0.9509841391171412
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.09,0.0008128305161640996,1,0.938945155742404
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.11,0.0007762471166286927,1,0.9424804127651443
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.6,0.0002511886431509582,1,0.9799350277087713
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.92,0.0012022644346174132,1,0.9125740493025033
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,8.63,0.0023442288153199178,1,0.8599273839098032
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.82,0.0015135612484362072,1,0.9021593732084846
Brc1cccc(Nc2ncnc3cnccc23)c1,7.29,0.05128613839913648,1,0.5322950506401681
Brc1cccc(Nc2ncnc3ncccc23)c1,6.16,0.6918309709189363,0,0.27326581310911524
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58,0.0026302679918953817,1,0.8544811771450411
Brc1cccc(Nc2ncnc3sccc23)c1,7.46,0.034673685045253165,1,0.5701318555321995
Brc1cccc(Oc2ncnc3ccccc23)c1,6.12,0.7585775750291835,0,0.26581310911523026
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,7.05,0.08912509381337459,1,0.46474297725969804
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.47,0.03388441561392027,1,0.5729027326581311
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,7.41,0.03890451449942805,1,0.559908274412383
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,7.48,0.03311311214825908,1,0.5750047773743551
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,7.29,0.05128613839913648,1,0.5323905981272693
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.53,0.02951209226666384,1,0.5891458054653163
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,7.51,0.03090295432513592,1,0.58245748136824
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,7.79,0.016218100973589295,1,0.6547869291037646
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,6.98,0.10471285480508985,0,0.44725778712019876
C#CC(=O)N1CCCC(N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1,6.0,1.0,0,0.2360978406267915
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,9.49,0.0003235936569296281,1,0.9723867762277852
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,8.0,0.01,1,0.7022740301930059
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.22,0.0006025595860743569,1,0.9523218039365565
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.8,0.0015848931924611108,1,0.899292948595452
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,6.68,0.2089296130854041,0,0.3879227976304223
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.49,0.032359365692962806,1,0.5782533919357921
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.06,0.08709635899560814,1,0.4687559717179438
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.6,0.002511886431509582,1,0.8563921268870629
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.75,0.01778279410038923,1,0.6451366329065545
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,7.8,0.01584893192461114,1,0.6557424039747755
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,8.07,0.008511380382023759,1,0.7254920695585706
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,8.4,0.003981071705534969,1,0.8013567743168355
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,8.1,0.007943282347242822,1,0.7295050640168164
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.63,0.23442288153199228,0,0.3787502388687177
