smiles,bin_activity
OC(C1=CC(F)=C(F)C=C1)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,1
FC(C=C1)=C(F)C=C1C(OC(F)F)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,1
FC(C(Cl)=C1)=CC=C1NC(C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=O,1
CC1=CC(/C=C(C(N/2)=O)\SC2=N/C3=CC=CC=C3)=C(C)N1C(C=C4)=CC=C4C(F)(F)F,1
FC(OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CN4CC(C=CC=C5)=C5C4)N32)F,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(OC)=CC=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=C(OC)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(F)C(F)=C4)N32,0
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(C#N)C=C4)N32,0
FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F,1
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4,1
FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F,1
IC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC(F)=C(F)C=C4)=O)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(OC)(OC)C4=CC(F)=C(F)C=C4)N32,1
FS(F)(F)(F)(F)C(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4(CC5C6)CC6C[C@@H](C5)C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)CC4=CC=CC=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC45C[C@@H](C[C@@H](C5)C6)C[C@@H]6C4)N32,0
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4C[C@H]5C=C[C@@H]4C5)N32,1
CC1(C)[C@@H]2C[C@H]1C(CCOC3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43)=CC2,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)=O)N32,1
ClC(C=C1)=CC(Cl)=C1C2=NN=C3C=NC=C(OCC45C[C@@H](C[C@@H](C5)C6)C[C@@H]6C4)N32,0
ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC45C[C@@H](C[C@@H](C5)C6)C[C@@H]6C4)N32,0
CC1(C)[C@@H]2C[C@H]1C(CCOC3=CN=CC4=NN=C(C5=C(Cl)C=C(Cl)C=C5)N43)=CC2,0
CC1(C)[C@@H]2C[C@H]1C(CCOC3=CN=CC4=NN=C(C5=CC=C(Cl)C=C5)N43)=CC2,1
ClC(C=C1)=CC(Cl)=C1C2=NN=C3C=NC=C(OCC4C[C@H]5C=C[C@@H]4C5)N32,0
ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4C[C@H]5C=C[C@@H]4C5)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC=[N+]([O-])C(C(F)(F)F)=C4)=O)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC=C(O)C=C4)N32,0
FC(C=C1)=C(F)C=C1[C@H](OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,1
FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=C(C4=CC=CC=C4)N32,1
FC(C=C1)=C(F)C=C1C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,1
FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC[C]4[CH]BBBBBBBBBB4)C=C1)F,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N4CCOCC4)C5=CC=CC=C5)N32,1
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3CC#N)=O)\SC3=N/C4=CC=CC=C4)C=C1C,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4(OCCO4)C5=CC(F)=C(F)C=C5)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC/C4=C/BBBBB[BH]5[BH]([H]5)BB4)N32.[Cs+],1
CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C3SC(N(CC#N)C4=CC=CC=C4)=NC\3=O)C=C1C,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N(CC)C)C4=CC(F)=C(F)C=C4)N32,0
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4C5C6C7C4C8CC5C6C8C7)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4CC4)N32,0
O=C(N=C(S/1)N(C(C)=O)C2=CC=CC=C2)C1=C\C3=C(C)N(C4=CC=C(C=C4)C(F)(F)F)C(C)=C3,1
CCOC(C1=CC=C(N2C(C)=CC(/C=C(C(N/3)=O)\SC3=N/C4=CC=CC=C4)=C2C)C=C1)=O,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC=C(C(F)(F)F)C=C4)N32,1
O=C(N=C(S/1)N(C2=CC=CC=C2)C(C)=O)C1=C\C3=C(C)N(C4=CC=CC=C4)C(C)=C3,1
FC1=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(C(N(C)C)=O)C=C4)N32)=CC=C1F,0
FC1=CC=C(N2C(C)=CC(C(OCC(N)=O)=O)=C2C)C=C1,1
O=C(N=C(S/1)N(C2=CC=CC=C2)C(C)=O)C1=C\C3=C(C)N(C4=CC=C(C)C=C4)C(C)=C3,1
CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=NC=CC=C4,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C(O)=O)C4=CC=CC=C4)N32,0
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(Cl)C=C4)N32,0
FC1=CC(CCOC2=CN=CC3=NN=C(N4CCC(F)(F)CC4)N32)=CC=C1F,1
FC1=CC(CCOC2=CN=CC3=NN=C(N4CCC(F)CC4)N32)=CC=C1F,0
