smiles,IC50_uM,pIC50,bin_activity,Standard Value,Standard Units,Standard Relation,Assay Organism,Target ChEMBL ID,Target Name,serotype
N#Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,2.412,5.617622696531886,1,2412.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1ccc2c(C3=CCNCC3)csc2c1,56.25,4.2498774732166,0,56250.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,0.926,6.033389013318065,1,926.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)c1cc(Br)cc(C(=O)Nc2ccc3c(c2)CNC3)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1CCC2,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.028,5.988006885340743,1,1028.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1c(C(=O)Nc2cc(-c3cccnc3)ccn2)cc(C2CC2)n1C,4.832,5.315873074386925,1,4832.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,65.525,4.183592970381362,0,65525.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CNC(=O)[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,46.518,4.332378965646849,0,46518.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.0,6.0,1,1000.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1.695,5.770830297460899,1,1695.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3)nc12,3.672,5.435097327470795,1,3672.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2[nH]1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cn1cc(CNC(=O)[C@H](Nc2ccc3c(c2)CNC3)c2cc(Cl)cc(C3CC3)c2)cn1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Clc1cc(CNc2ccc3c(c2)CNC3)c2cn[nH]c2c1,30.908,4.509929096427009,0,30908.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,68.23,4.166024628720094,0,68230.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc(-c2cnco2)c1,20.321,4.692054924154069,0,20321.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cn1cc(CCc2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)cn1,21.587,4.665807708475127,0,21587.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N#Cc1ccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)cc1,1.68,5.774690718274138,1,1680.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]cc(C3CCNCC3)c2c1,31.174,4.5062074689303335,0,31174.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,69.217,4.159787227805255,0,69217.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc([C@H]2CN(Cc3ccccc3)C[C@@H]2c2cccc(-c3nn[nH]n3)c2)c1)OCc1ccccc1,6.635,5.178159072799546,1,6635.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc([C@H]2C[C@@H]2c2cccc(C3CCNCC3)c2)c1)OCc1ccccc1,6.279,5.202109516941651,1,6279.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,51.118,4.2914261463589565,0,51118.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
C=CC[C@H]1NCc2cc(NC(=O)c3cc(F)cc4[nH]ncc34)ccc21,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2nc(O)ccc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(C(F)(F)F)cc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)c1nnc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)s1,21.779,4.661962065096875,0,21779.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1ccccc1-c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1,2.189,5.659754238432068,1,2189.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
COc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,5.415,5.266401539038661,1,5415.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc([C@H](C#CCO)Nc2cccc(-c3nn[nH]n3)c2)c1)OCc1ccccc1,12.72,4.895512888687605,0,12720.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1CN,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc([C@H]3C[C@H]3C(=O)O)c2)c1)OCc1ccccc1,25.164,4.599220323487032,0,25164.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,10.024,4.998958942013906,0,10024.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)CNC(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,14.372,4.842482791467388,0,14372.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)c1)OCc1ccccc1,11.555,4.937230050184872,0,11555.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Cl)cc(-c2ccc3[nH]c(C(=O)O)cc3c2)c1)OCc1ccccc1,5.819,5.235151642806589,1,5819.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1c(C(=O)Nc2cc([C@H]3CCOC3)ccn2)cc(C2CC2)n1C,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
COCCNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,49.934,4.301603643070731,0,49934.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,2.056,5.686976889676762,1,2056.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,5.919,5.227751660028146,1,5919.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C(F)(F)F)n1,7.254,5.139422448755584,1,7254.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
C=CC[C@H]1NCc2cc(NC(=O)c3cc(Cl)cc4[nH]ncc34)ccc21,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CCOCCNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cn[nH]c12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N#C[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,0.865,6.062983892535186,1,865.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C1Cc2c(cc(F)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,36.199,4.4413034267176785,0,36199.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3cccc(F)c3)nc12,2.687,5.5707323335668315,1,2687.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CN1Cc2ccc(NC(=O)c3cc(Cl)cc4[nH]ncc34)cc2C1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc(Br)c2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,75.519,4.121943769469485,0,75519.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2c1CCC2,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,34.366,4.46387101424108,0,34366.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
